identificador,,título,tipo,dimensiones,fecha,producción,distribución,lugar,latitude,longitude,archivo
GZT_DOC161,,"Bogotá (la desmesura, a Melville)",Tarjeta postal,"11x15,5 cms",1994,Jaime Vargas,Taller Arte 2 Gráfico,Monserrate,4.5962015,-74.0640615,https://badac.uniandes.edu.co/files/gzt/GZT_DOC161.jpg
GZT_DOC162,,El mar en la plaza,Tarjeta postal,"11x15,5 cms",1994,Jaime Vargas,Taller Arte 2 Gráfico,Plaza de Bolívar,4.5963704,-74.0760387,https://badac.uniandes.edu.co/files/gzt/GZT_DOC162.jpg
GZT_DOC163,,San Jorge y Monserrate,Tarjeta postal,"11x15,5 cms",1994,Jaime Vargas,Taller Arte 2 Gráfico,Monserrate,4.5949595,-74.0556611,https://badac.uniandes.edu.co/files/gzt/GZT_DOC163.jpg
GZT_DOC164,,Escuadra (el ritmo de las montañas),Tarjeta postal,"11x15,5 cms",1994,Jaime Vargas,Taller Arte 2 Gráfico,Monserrate,4.587295,-74.030631,https://badac.uniandes.edu.co/files/gzt/GZT_DOC164.jpg
GZT_DOC165,,Cortina azul y edificio Colpatria-Pisa vistos desde la estación de la sabana,Tarjeta postal,"11x15,5 cms",1994,Jaime Vargas,Taller Arte 2 Gráfico,Edificio Colpatria,4.6110805,-74.0717681,https://badac.uniandes.edu.co/files/gzt/GZT_DOC165.jpg
GZT_DOC166,,"Congreso – Titanic
 (El hundimiento del congreso)
 Litografía publicada en La Prensa. (11 de mayo de 1991, versión en blanco y negro) y en El Tiempo (9 de Junio de 1991, versión a color)",Tarjeta postal,"11x15,5 cms",1994,Jaime Vargas,Taller Arte 2 Gráfico,Congreso de la República,4.5962002,-74.0767726,https://badac.uniandes.edu.co/files/gzt/GZT_DOC166.jpg
GZT_DOC167,,Huevo de Condor Gigante (Avenida El Dorado con Avenida Boyacá),Tarjeta postal,"15,5x11 cms",1994,Jaime Vargas,Taller Arte 2 Gráfico,Avenida el Dorado con Avenida Boyacá,4.666513,-74.1137347,https://badac.uniandes.edu.co/files/gzt/GZT_DOC167.jpg
GZT_DOC168,,Rio Chapinero,Tarjeta postal,"11x15,5 cms",1994,Jaime Vargas,Taller Arte 2 Gráfico,Chapinero,4.6496279,-74.0632791,https://badac.uniandes.edu.co/files/gzt/GZT_DOC168.jpg
GZT_DOC169,,Palacio de Justicia Documento,Tarjeta postal,"11x15,5 cms",1994,Jaime Vargas,Taller Arte 2 Gráfico,Palacio de Justicia,4.5982529,-74.0760914,https://badac.uniandes.edu.co/files/gzt/GZT_DOC169.jpg
GZT_DOC170,,Mástiles,Tarjeta postal,"10,5x15 cms",1994,Jaime Vargas,Taller Arte 2 Gráfico,Cerros orientales,4.5767383,-74.0698257,https://badac.uniandes.edu.co/files/gzt/GZT_DOC170.jpg
